activity,micromorts,microlives,category,period,period_type,period_days,micromorts_per_day,source_url,n_components,hedgeable_pct,source_id,confidence,year,geography,age_group,last_accessed
Running a marathon,7,4.9,Sport,per event,event,1,7,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Living in Maryland COVID-19 (Mar-May 2020),7,4.9,COVID-19,per 8 weeks,period,56,0.12,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Living (one day, age 45)",6,4.2,Daily Life,per day,day,1,6,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Scuba diving, trained",5,3.5,Sport,per event,event,1,5,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
"Living (one day, age 50)",4,2.8,Daily Life,per day,day,1,4,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
COVID-19 monovalent vaccine (all ages),4,2.8,COVID-19,11 weeks (2022),period,77,0.05,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Rock climbing,3,2.1,Sport,per event,event,1,3,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 bivalent booster (age 65-79),3,2.1,COVID-19,11 weeks (2022),period,77,0.04,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
COVID-19 monovalent vaccine (age 50-64),2,1.4,COVID-19,11 weeks (2022),period,77,0.03,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
COVID-19 unvaccinated (age 18-49),1,0.7,COVID-19,11 weeks (2022),period,77,0.01,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Living 2 months with a smoker,1,0.7,Environment,per 2 months,event,60,0.02,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Walking (20 miles),1,0.7,Travel,per trip,event,0.17,5.88,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Driving (230 miles),1,0.7,Travel,per trip,event,0.17,5.88,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Train (1000 miles),1,0.7,Travel,per trip,event,0.17,5.88,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Eating 1000 bananas (radiation),1,0.7,Diet,per event,event,1,1,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
1 hour in a coal mine,1,0.7,Occupation,per hour,hour,0.041666666666666664,24,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Eating 40 tbsp peanut butter (aflatoxin),1,0.7,Diet,per event,event,1,1,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Eating 100 charbroiled steaks,1,0.7,Diet,per event,event,1,1,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
"Living (one day, age 20)",1,0.7,Daily Life,per day,day,1,1,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
"Living (one day, age 30)",1,0.7,Daily Life,per day,day,1,1,https://en.wikipedia.org/wiki/Micromort,1,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
COVID-19 bivalent booster (all ages),1,0.7,COVID-19,11 weeks (2022),period,77,0.01,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
COVID-19 bivalent booster (age 50-64),1,0.7,COVID-19,11 weeks (2022),period,77,0.01,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Skiing,0.7,0.5,Sport,per day,day,1,0.7,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
Horse riding,0.5,0.3,Sport,per ride,event,0.08,6.25,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 monovalent vaccine (age 18-49),0.2,0.1,COVID-19,11 weeks (2022),period,77,0,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Kangaroo encounter,0.1,0.1,Wildlife,per encounter,event,0.01,10,https://micromorts.rip/,1,0,micromorts_rip,medium,2025,global,all,2026-03-15
COVID-19 bivalent booster (age 18-49),0.05,0,COVID-19,11 weeks (2022),period,77,0,https://www.cdc.gov/mmwr/volumes/72/wr/mm7206a3.htm,1,0,cdc_mmwr,high,2025,global,all,2026-03-15
Flying (2h short-haul),1.1,0.8,Travel,per 2h flight,event,0.08333333333333333,13.2,https://en.wikipedia.org/wiki/Micromort,3,0,wikipedia_micromort,medium,2025,global,all,2026-03-15
Flying (5h medium-haul),1.75,1.2,Travel,per 5h flight,event,0.20833333333333334,8.4,https://en.wikipedia.org/wiki/Micromort,3,28.6,wikipedia_micromort,medium,2025,global,all,2026-03-15
Flying (8h long-haul),3.9,2.7,Travel,per 8h flight,event,0.3333333333333333,11.7,https://en.wikipedia.org/wiki/Micromort,3,64.1,wikipedia_micromort,medium,2025,global,all,2026-03-15
